striker_id,balls_faced,effect_runs_per_ball,se,ci_lo,ci_hi,p_value,fdr_q,reference_batter
Batter_033,92,0.215897573980462,0.214164605302345,-0.203865052412133,0.635660200373057,0.313410412840983,0.74058111275331,Batter_035
Batter_005,41,0.153267605249119,0.29697174472115,-0.428797014404335,0.735332224902573,0.605783420787941,0.881213614040836,Batter_035
Batter_003,99,0.119588132922246,0.312467391634658,-0.492847954681683,0.732024220526175,0.701925929367335,0.902476194900859,Batter_035
Batter_048,78,0.115626780952564,0.248534812613479,-0.371501451769855,0.602755013674984,0.641764077573968,0.881213614040836,Batter_035
Batter_015,41,0.111345286680971,0.222910286722237,-0.325558875294614,0.548249448656556,0.617422136285751,0.881213614040836,Batter_035
Batter_002,138,0.072372219889361,0.303168035818129,-0.521837130314172,0.666581570092894,0.811322844457806,0.952422469580903,Batter_035
Batter_009,124,0.066736514769345,0.235778998336247,-0.3953903219697,0.52886335150839,0.777140884678576,0.952422469580903,Batter_035
Batter_034,41,0.0041001019033074,0.2776724639897,-0.540137927516504,0.548338131323119,0.988218892562457,0.988218892562457,Batter_035
Batter_007,150,-0.0259983547945576,0.19483339236289,-0.407871803825821,0.355875094236706,0.893846277710198,0.967015545757104,Batter_035
Batter_023,52,-0.0261536871244547,0.302932784113098,-0.619901943986126,0.567594569737217,0.931200155173508,0.967015545757104,Batter_035
Batter_025,74,-0.0309221086102231,0.313134133062212,-0.644665009412159,0.582820792191712,0.921336482127527,0.967015545757104,Batter_035
Batter_046,116,-0.136409575317262,0.303170122206686,-0.730623014842366,0.457803864207843,0.652750825215434,0.881213614040836,Batter_035
Batter_012,96,-0.146661056365814,0.275145798852176,-0.685946822116079,0.392624709384452,0.594012584096299,0.881213614040836,Batter_035
Batter_011,101,-0.184746625740463,0.277827608543015,-0.729288738484773,0.359795487003846,0.506070600270444,0.881213614040836,Batter_035
Batter_016,119,-0.188790651261191,0.143104473908829,-0.469275420122495,0.0916941176001136,0.187085374565922,0.561256123697766,Batter_035
Batter_038,48,-0.256707100934494,0.296621273335117,-0.838084796671322,0.324670594802335,0.386798839794507,0.745969191032264,Batter_035
Batter_047,57,-0.330460382634895,0.278484481363964,-0.876289966108264,0.215369200838474,0.235370277792484,0.635499750039706,Batter_035
Batter_030,61,-0.334404007892926,0.362729988131524,-1.04535478463071,0.37654676884486,0.356576091325668,0.74058111275331,Batter_035
Batter_004,85,-0.336778904687781,0.231717974893545,-0.79094613547913,0.117388326103568,0.146112726513584,0.493130451983346,Batter_035
Batter_013,71,-0.356161232315762,0.382852408655017,-1.10655195327959,0.394229488648071,0.352224381293088,0.74058111275331,Batter_035
Batter_006,50,-0.433716210750645,0.265188252846564,-0.95348518632991,0.0860527648286205,0.101943624465084,0.458746310092879,Batter_035
Batter_028,73,-0.453697013283711,0.301435953694032,-1.04451148252401,0.137117455956593,0.132293457626274,0.493130451983346,Batter_035
Batter_040,55,-0.461784556946524,0.222404517410896,-0.897697411071881,-0.0258717028211675,0.0378636959439799,0.204463958097492,Batter_035
Batter_010,110,-0.543443681776498,0.259260893374269,-1.05159503279007,-0.0352923307629314,0.036070952756787,0.204463958097492,Batter_035
Batter_017,64,-0.619795151838817,0.245912800070848,-1.10178423997768,-0.137806063699955,0.0117226239839913,0.170034898289826,Batter_035
Batter_027,51,-0.645247185521123,0.274849277380911,-1.18395176918771,-0.106542601854539,0.0188927664766474,0.170034898289826,Batter_035
Batter_020,64,-0.736337595587584,0.29572293206357,-1.31595454243218,-0.156720648742988,0.0127758295023378,0.170034898289826,Batter_035
