striker_id,balls_faced,ate_runs_per_ball,ate_se,ate_ci_lo,ate_ci_hi,ate_p_value,ate_fdr_q,reference_batter,mean_propensity,empirical_share,mean_propensity_when_facing,is_reference
Batter_035,,,,,,,,,0.0738545412214402,0.0756338633433605,0.479681932152166,TRUE
Batter_033,92,0.215897573980462,0.214164605302345,-0.203865052412133,0.635660200373057,0.313410412840983,0.74058111275331,Batter_035,0.0377463039667303,0.0395358831113021,0.464300912215226,FALSE
Batter_005,41,0.153267605249119,0.29697174472115,-0.428797014404335,0.735332224902573,0.605783420787941,0.881213614040836,Batter_035,0.0136283891861854,0.0176192522561238,0.56247868893704,FALSE
Batter_003,99,0.119588132922246,0.312467391634658,-0.492847954681683,0.732024220526175,0.701925929367335,0.902476194900859,Batter_035,0.0470550515319341,0.0425440481306403,0.656414613906285,FALSE
Batter_048,78,0.115626780952564,0.248534812613479,-0.371501451769855,0.602755013674984,0.641764077573968,0.881213614040836,Batter_035,0.0329491274494163,0.0335195530726257,0.31153396131416,FALSE
Batter_015,41,0.111345286680971,0.222910286722237,-0.325558875294614,0.548249448656556,0.617422136285751,0.881213614040836,Batter_035,0.0170769003655839,0.0176192522561238,0.150633567845401,FALSE
Batter_002,138,0.072372219889361,0.303168035818129,-0.521837130314172,0.666581570092894,0.811322844457806,0.952422469580903,Batter_035,0.0581556786403382,0.0593038246669532,0.429542340956234,FALSE
Batter_009,124,0.066736514769345,0.235778998336247,-0.3953903219697,0.52886335150839,0.777140884678576,0.952422469580903,Batter_035,0.0532208169907141,0.0532874946282768,0.495627188787292,FALSE
Batter_034,41,0.0041001019033074,0.2776724639897,-0.540137927516504,0.548338131323119,0.988218892562457,0.988218892562457,Batter_035,0.0185920733863062,0.0176192522561238,0.287713287932384,FALSE
Batter_007,150,-0.0259983547945576,0.19483339236289,-0.407871803825821,0.355875094236706,0.893846277710198,0.967015545757104,Batter_035,0.0656701063400543,0.0644606789858187,0.406065473653462,FALSE
Batter_023,52,-0.0261536871244547,0.302932784113098,-0.619901943986126,0.567594569737217,0.931200155173508,0.967015545757104,Batter_035,0.0252878993873539,0.0223463687150838,0.217116312238234,FALSE
Batter_025,74,-0.0309221086102231,0.313134133062212,-0.644665009412159,0.582820792191712,0.921336482127527,0.967015545757104,Batter_035,0.0326595115613949,0.0318006016330039,0.472706627577919,FALSE
Batter_046,116,-0.136409575317262,0.303170122206686,-0.730623014842366,0.457803864207843,0.652750825215434,0.881213614040836,Batter_035,0.045936806101419,0.0498495917490331,0.744406883948514,FALSE
Batter_012,96,-0.146661056365814,0.275145798852176,-0.685946822116079,0.392624709384452,0.594012584096299,0.881213614040836,Batter_035,0.0332259712753162,0.0412548345509239,0.546142635249925,FALSE
Batter_011,101,-0.184746625740463,0.277827608543015,-0.729288738484773,0.359795487003846,0.506070600270444,0.881213614040836,Batter_035,0.0420033397339903,0.0434035238504512,0.549551549333014,FALSE
Batter_016,119,-0.188790651261191,0.143104473908829,-0.469275420122495,0.0916941176001136,0.187085374565922,0.561256123697766,Batter_035,0.0500971885529925,0.0511388053287495,0.422788280130327,FALSE
Batter_038,48,-0.256707100934494,0.296621273335117,-0.838084796671322,0.324670594802335,0.386798839794507,0.745969191032264,Batter_035,0.0227704965758232,0.020627417275462,0.16625054235109,FALSE
Batter_047,57,-0.330460382634895,0.278484481363964,-0.876289966108264,0.215369200838474,0.235370277792484,0.635499750039706,Batter_035,0.0255570099408169,0.0244950580146111,0.208417339670991,FALSE
Batter_030,61,-0.334404007892926,0.362729988131524,-1.04535478463071,0.37654676884486,0.356576091325668,0.74058111275331,Batter_035,0.0274835705559552,0.0262140094542329,0.294389108725666,FALSE
Batter_004,85,-0.336778904687781,0.231717974893545,-0.79094613547913,0.117388326103568,0.146112726513584,0.493130451983346,Batter_035,0.0417705608226059,0.0365277180919639,0.364834809454056,FALSE
Batter_013,71,-0.356161232315762,0.382852408655017,-1.10655195327959,0.394229488648071,0.352224381293088,0.74058111275331,Batter_035,0.0243539556746623,0.0305113880532875,0.747627082089405,FALSE
Batter_006,50,-0.433716210750645,0.265188252846564,-0.95348518632991,0.0860527648286205,0.101943624465084,0.458746310092879,Batter_035,0.0167285726106908,0.0214868929952729,0.768499502585987,FALSE
Batter_028,73,-0.453697013283711,0.301435953694032,-1.04451148252401,0.137117455956593,0.132293457626274,0.493130451983346,Batter_035,0.0364563433905617,0.0313708637730984,0.296583360265624,FALSE
Batter_040,55,-0.461784556946524,0.222404517410896,-0.897697411071881,-0.0258717028211675,0.0378636959439799,0.204463958097492,Batter_035,0.0259809051830022,0.0236355822948002,0.299078001311032,FALSE
Batter_010,110,-0.543443681776498,0.259260893374269,-1.05159503279007,-0.0352923307629314,0.036070952756787,0.204463958097492,Batter_035,0.0478784401325901,0.0472711645896004,0.339018343330555,FALSE
Batter_017,64,-0.619795151838817,0.245912800070848,-1.10178423997768,-0.137806063699955,0.0117226239839913,0.170034898289826,Batter_035,0.031576801122917,0.0275032230339493,0.257897835944845,FALSE
Batter_027,51,-0.645247185521123,0.274849277380911,-1.18395176918771,-0.106542601854539,0.0188927664766474,0.170034898289826,Batter_035,0.0240816418179633,0.0219166308551783,0.547271858009089,FALSE
Batter_020,64,-0.736337595587584,0.29572293206357,-1.31595454243218,-0.156720648742988,0.0127758295023378,0.170034898289826,Batter_035,0.0282019964812418,0.0275032230339493,0.726694612963202,FALSE
