striker_id,balls_faced,effect_runs_per_ball,se,ci_lo,ci_hi,p_value,fdr_q,reference_batter
Batter_001,93,0.302014763646428,0.292855145021164,-0.271981320595053,0.876010847887909,0.302410959653448,0.531497373088549,Batter_035
Batter_009,175,0.275895357595408,0.222272406719934,-0.159758559575663,0.71154927476648,0.21451385322199,0.44094514273409,Batter_035
Batter_007,209,0.184807429398663,0.20291334782777,-0.212902732343766,0.582517591141092,0.362416469632822,0.578927393719472,Batter_035
Batter_005,85,0.15770949412452,0.229277023690803,-0.291673472309455,0.607092460558495,0.491543693070956,0.627141953228461,Batter_035
Batter_004,145,0.143557511374278,0.300028704995274,-0.444498750416459,0.731613773165015,0.632309135703722,0.754691549065732,Batter_035
Batter_033,96,0.123150018736123,0.17702815768549,-0.223825170327437,0.470125207799684,0.486646697725523,0.627141953228461,Batter_035
Batter_008,63,0.118865587434021,0.287204823117148,-0.44405586587559,0.681787040743631,0.67896899099714,0.773325509197605,Batter_035
Batter_025,82,0.0933480126226088,0.233819349419751,-0.364937912240104,0.551633937485321,0.689722751446512,0.773325509197605,Batter_035
Batter_034,135,0.0379179797361667,0.262364347546192,-0.476316141454369,0.552152100926703,0.885086601489166,0.90967234041942,Batter_035
Batter_012,119,0.0175583341216769,0.175124961059193,-0.325686589554342,0.360803257797696,0.920136527783272,0.920136527783272,Batter_035
Batter_011,172,-0.0381355174508381,0.221539751132069,-0.472353429669693,0.396082394768017,0.863328656517023,0.90967234041942,Batter_035
Batter_038,108,-0.0573731941481107,0.210625359170807,-0.470198898122892,0.355452509826671,0.785318683902301,0.854611508952504,Batter_035
Batter_048,78,-0.0992150485408394,0.194705727156789,-0.480838273768145,0.282408176686466,0.610356880489967,0.752773485937626,Batter_035
Batter_002,138,-0.158735611130003,0.207232658750896,-0.56491162228176,0.247440400021753,0.443689525713988,0.608018979682131,Batter_035
Batter_046,140,-0.175836000545785,0.198420158056797,-0.564739510337107,0.213067509245536,0.375520471601819,0.578927393719472,Batter_035
Batter_023,79,-0.206816847923246,0.186119103594692,-0.571610290968842,0.15797659512235,0.266479265403154,0.518933306311406,Batter_035
Batter_003,153,-0.211944576477807,0.211382530794537,-0.6262543368351,0.202365183879487,0.316025465079678,0.531497373088549,Batter_035
Batter_030,88,-0.222552433843053,0.264812296956202,-0.741584535877209,0.296479668191104,0.400675302960555,0.592999448381621,Batter_035
Batter_013,107,-0.223496497131421,0.21806565736423,-0.650905185565313,0.20391219130247,0.305408200031639,0.531497373088549,Batter_035
Batter_020,113,-0.230877039298621,0.292684815013137,-0.804539276724368,0.342785198127127,0.430214415276812,0.608018979682131,Batter_035
Batter_016,176,-0.240710717021838,0.123249112942533,-0.482278978389203,0.000857544345527595,0.0508145965682409,0.188014007302491,Batter_035
Batter_031,73,-0.251988737741728,0.191847700456646,-0.628010230636754,0.124032755153298,0.189020167331346,0.437109136953736,Batter_035
Batter_028,159,-0.283971983049814,0.223234532807678,-0.721511667352863,0.153567701253236,0.203345017036757,0.44094514273409,Batter_035
Batter_022,76,-0.313778396581358,0.197584692498497,-0.701044393878413,0.0734876007156967,0.112270426549695,0.319538906333748,Batter_035
Batter_024,63,-0.317853315588932,0.207465409961837,-0.724485519114133,0.0887788879362686,0.125503039006916,0.321577482147389,Batter_035
Batter_010,205,-0.342075088338638,0.158568306038312,-0.652868968173729,-0.0312812085035474,0.0309844176030624,0.163774778759044,Batter_035
Batter_014,57,-0.370384020550372,0.244858136001241,-0.850305967112805,0.109537926012061,0.130369249519212,0.321577482147389,Batter_035
Batter_017,132,-0.373502581861978,0.211838934491052,-0.78870689346444,0.0417017297404845,0.0778761775441779,0.253966244777565,Batter_035
Batter_040,112,-0.427265957241935,0.194793571098088,-0.809061356594187,-0.0454705578896832,0.0282764517945099,0.163774778759044,Batter_035
Batter_021,72,-0.454927169345292,0.261887091659081,-0.968225868997092,0.0583715303065065,0.0823674307386697,0.253966244777565,Batter_035
Batter_045,58,-0.45530658876227,0.228134295917585,-0.902449808760737,-0.00816336876380308,0.045957529275291,0.188014007302491,Batter_035
Batter_036,65,-0.496091854725904,0.245978539475672,-0.978209792098221,-0.0139739173535872,0.0437153973818258,0.188014007302491,Batter_035
Batter_018,64,-0.506216790394537,0.22267306409842,-0.942655996027441,-0.0697775847616331,0.0230042908200659,0.163774778759044,Batter_035
Batter_039,61,-0.511684927476885,0.199528989041526,-0.902761745998276,-0.120608108955494,0.0103335271419069,0.0955851260626387,Batter_035
Batter_047,57,-0.554673722292375,0.198610047598906,-0.943949415586231,-0.16539802899852,0.00522575824494479,0.0644510183543191,Batter_035
Batter_006,50,-0.558717193855222,0.142307560047024,-0.837640011547388,-0.279794376163055,8.63254962878482e-05,0.00319404336265038,Batter_035
Batter_027,55,-0.584409357751473,0.187701435836497,-0.952304171991006,-0.21651454351194,0.0018487938144736,0.0342026855677617,Batter_035
