striker_id,balls_faced,dml_effect,dml_se,dml_ci_lo,dml_ci_hi,reference_batter,rae_vs_ref,rae_mean,rae_se,rae_ci_lo,rae_ci_hi,diff_dml_minus_rae,abs_diff
Batter_001,93,0.302014763646428,0.292855145021164,-0.271981320595053,0.876010847887909,Batter_035,0.341434281370081,0.465606802188857,0.197479067235809,-0.0456246904121049,0.728493253152267,-0.0394195177236534,0.0394195177236534
Batter_009,175,0.275895357595408,0.222272406719934,-0.159758559575663,0.71154927476648,Batter_035,0.161441582805957,0.285614103624733,0.134197648978187,-0.101585809191289,0.424468974803203,0.114453774789452,0.114453774789452
Batter_007,209,0.184807429398663,0.20291334782777,-0.212902732343766,0.582517591141092,Batter_035,0.176943053320841,0.301115574139617,0.129341090794988,-0.0765654846373358,0.430451591279018,0.00786437607782176,0.00786437607782176
Batter_005,85,0.15770949412452,0.229277023690803,-0.291673472309455,0.607092460558495,Batter_035,0.0994180326822957,0.223590553501072,0.165185568172774,-0.224345680936342,0.423181746300933,0.0582914614422242,0.0582914614422242
Batter_004,145,0.143557511374278,0.300028704995274,-0.444498750416459,0.731613773165015,Batter_035,0.124617232632595,0.248789753451371,0.147127758741933,-0.163753174501594,0.412987639766784,0.0189402787416827,0.0189402787416827
Batter_033,96,0.123150018736123,0.17702815768549,-0.223825170327437,0.470125207799684,Batter_035,0.0685758124570807,0.192748333275857,0.171528229383812,-0.267619517135191,0.404771142049353,0.0545742062790424,0.0545742062790424
Batter_008,63,0.118865587434021,0.287204823117148,-0.44405586587559,0.681787040743631,Batter_035,0.0195192764003504,0.143691797219126,0.215632765180054,-0.403120943352555,0.442159496153256,0.0993463110336701,0.0993463110336701
Batter_025,82,0.0933480126226088,0.233819349419751,-0.364937912240104,0.551633937485321,Batter_035,-0.0108574937240279,0.113315027094748,0.188590209916992,-0.380494305161333,0.358779317713277,0.104205506346637,0.104205506346637
Batter_034,135,0.0379179797361667,0.262364347546192,-0.476316141454369,0.552152100926703,Batter_035,0.00815573154744441,0.13232825236622,0.149963877020187,-0.285773467412122,0.302084930507011,0.0297622481887223,0.0297622481887223
Batter_012,119,0.0175583341216769,0.175124961059193,-0.325686589554342,0.360803257797696,Batter_035,0.0373143216720602,0.161486842490836,0.151158608696767,-0.258956551373604,0.333585194717724,-0.0197559875503833,0.0197559875503833
Batter_011,172,-0.0381355174508381,0.221539751132069,-0.472353429669693,0.396082394768017,Batter_035,-0.0496973328864514,0.0744751879323245,0.122426258982017,-0.289652800491204,0.190258134718301,0.0115618154356132,0.0115618154356132
